neighborhood_name,classification_name,property_type_name,price,area
حي/العكاس وال زيدى طريق ال يوسف,سكني,قطعة أرض,650000,614.25
حي/الهيام شمال العرين,زراعي,شقة,700000,266.41
حي/حجلا,سكني,قطعة أرض,50000,400
حي/سر المظفر,سكني,شقة,556990,240.28
حي/سر المظفر,سكني,شقة,350000,240.28
حي/سر لعصان,سكني,قطعة أرض,530000,390
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,457000,401.73
حي/شمال ابها,سكني,قطعة أرض,250000,850
حي/مدينة سلطان,تجاري,قطعة أرض,1000000,810
حي/1/ م/ س المعدل2,سكني,قطعة أرض,10000,534.37
حي/آل غليظ,سكني,قطعة أرض,1300000,600
حي/ال غليظ,سكني,قطعة أرض,800000,614.25
حي/الشرف,سكني,قطعة أرض,350000,300
حي/العكاس وال زيدى طريق ال يوسف,سكني,قطعة أرض,295101,312.5
حي/المحالة مدينة سلطان,سكني,قطعة أرض,595000,600
حي/المروج بالمنسك,سكني,قطعة أرض,500000,500
حي/النميص بالمنسك,زراعي,شقة,450000,184.19
حي/حجلا المسماه الغيابة,سكني,قطعة أرض,351540,810
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,300
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,300
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,300
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,180000,398.75
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,180000,434
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,180000,434
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,270
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,270
حي/سر ثبته,سكني,قطعة أرض,300000,400
حي/شمال ابها,سكني,قطعة أرض,210000,724
حي/شمال ابها,سكني,قطعة أرض,250000,850
حي/مسفره بللحمر,سكني,قطعة أرض,100000,625
حي/ال غليظ,سكني,قطعة أرض,550000,582
حي/ال غليظ,سكني,قطعة أرض,1100000,995.5
حي/الداره,سكني,قطعة أرض,1100000,686
حي/السلمه ال غليظ,سكني,قطعة أرض,560000,633
حي/العكاس وال زيدى طريق ال يوسف,سكني,قطعة أرض,300000,312.5
حي/المحاله,سكني,قطعة أرض,250000,625
حي/المنسك بابها,زراعي,أرض زراعية,3000000,5604.59
حي/الهيام شمال العرين,سكني,قطعة أرض,700000,795.1
حي/جنوب طريق السوده,سكني,قطعة أرض,2000000,2304.43
"حي/رميداء بنى مالك",سكني,شقة,500000,229.1
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,445000,384.33
حي/مدينة سلطان,سكني,قطعة أرض,700000,625
حي/مدينة سلطان,سكني,قطعة أرض,100000,875
حي/مدينة سلطان الاعيلب,سكني,قطعة أرض,100000,750
حي/السودة,سكني,قطعة أرض,427000,825
حي/الهيام شمال العرين,سكني,قطعة أرض,200000,585
حي/قرية جوحان,سكني,شقة,500000,197.98
حي/لعصان,سكني,شقة,400000,170.9
حي/مدينة سلطان,زراعي,أرض زراعية,3000000,19235
حي/المحارث ال السريع,سكني,قطعة أرض,1100000,6218
حي/المحالة ام نجم,زراعي,شقة,1000000,320.4
حي/حجلا,سكني,قطعة أرض,385000,260
حي/سر لعصان,سكني,قطعة أرض,420000,455
حي/مدينة سلطان,سكني,قطعة أرض,300000,640
حي/مدينة سلطان,سكني,قطعة أرض,200000,566
حي/997 بصبح,سكني,قطعة أرض,80000,750
حي/ال حلامى,تجاري,قطعة أرض,350000,612
حي/الشرف الحصن الاعلى,زراعي,أرض زراعية,100000,18435
حي/المحالة,زراعي,شقة,920000,353.79
حي/شعبة الحسود,سكني,قطعة أرض,99000,550
حي/الخارجه بنى مالك,سكني,قطعة أرض,245000,360
حي/اليمانيه,سكني,قطعة أرض,450000,315
حي/حجلا مدينة سلطان,سكني,قطعة أرض,7000000,4432
حي/ربيعه ورفيده,سكني,بيت,115000,336.96
حي/سر المظفر,سكني,قطعة أرض,352350,558.7
حي/ال غليظ,سكني,قطعة أرض,150000,375
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,200000,750
حي/المحاله,سكني,قطعة أرض,1000000,750
